departure,train_type,destination
05:47,普通,熱海
06:03,普通,平塚
06:14,普通,上野
06:26,普通,小田原
06:35,普通,大船
06:45,普通,熱海
06:54,普通,上野
07:00,普通,熱海
07:10,普通,国府津
07:14,普通,上野
07:20,普通,大船
07:25,普通,平塚
07:32,普通,平塚
07:38,普通,逗子
07:44,普通,国府津
07:50,普通,大船
07:55,普通,品川
08:01,普通,逗子
08:06,普通,上野
08:13,普通,品川
08:22,普通,熱海
08:31,普通,熱海
08:39,普通,大船
08:48,普通,熱海
08:59,普通,品川
09:10,普通,逗子
09:19,普通,熱海
09:29,普通,上野
09:36,普通,逗子
09:48,普通,熱海
10:03,普通,逗子
10:18,普通,平塚
10:32,普通,平塚
10:37,快速,逗子
10:51,普通,熱海
11:06,普通,逗子
11:15,普通,平塚
11:31,普通,平塚
11:36,快速,逗子
11:55,普通,熱海
12:05,普通,逗子
12:18,普通,平塚
12:31,普通,平塚
12:36,快速,逗子
12:51,普通,熱海
13:06,普通,逗子
13:16,普通,平塚
13:31,普通,平塚
13:36,快速,逗子
13:52,普通,熱海
14:06,普通,逗子
14:16,普通,平塚
14:31,普通,平塚
14:35,快速,逗子
14:53,普通,小田原
15:05,普通,逗子
15:15,普通,小田原
15:33,普通,伊東
15:37,快速,逗子
15:52,普通,小田原
16:06,普通,逗子
16:19,普通,小田原
16:37,普通,小田原
16:41,快速,逗子
16:49,普通,上野
17:00,普通,熱海
17:05,普通,逗子
17:15,普通,小田原
17:21,普通,国府津
17:31,普通,上野
17:35,普通,小田原
17:40,快速,逗子
17:52,普通,国府津
18:05,普通,熱海
18:12,普通,逗子
18:26,普通,熱海
18:38,普通,平塚
18:44,普通,大船
19:00,普通,小田原
19:08,普通,小田原
19:17,普通,逗子
19:27,普通,小田原
19:38,普通,大船
19:51,普通,平塚
20:04,普通,大船
20:13,普通,小田原
20:17,普通,上野
20:28,普通,平塚
20:38,普通,逗子
20:51,普通,小田原
21:03,普通,逗子
21:10,普通,熱海
21:24,普通,上野
21:35,普通,上野
21:42,普通,沼津
21:47,普通,大船
21:58,普通,国府津
22:17,普通,平塚
22:27,普通,上野
22:36,普通,上野
22:45,普通,上野
23:05,普通,上野
23:29,普通,上野
23:51,普通,大宮
